a,k,k h,Omega_cdm,Omega_b,Omega_m,A_s,h,k_horizon,sigma8,delta_cdm,delta_b,delta_m,delta_prime_cdm,delta_prime_b,delta_prime_m
0.03011961,0.008552686,0.01295861515151515,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.006654638530640785,0.76174001094047,-43.926810000000003242,-42.888410000000000366,-43.75832146656547888,-1416.1427343781201671,-1412.4828011053884893,-1415.5488815376049999
0.03015182,0.00679364,0.010293393939393939,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.006654638530640785,0.76174001094047,-30.341509999999999536,-29.900919999999999277,-30.270020821508168092,-967.8188128609277783,-966.2230706924211745,-967.5598911951811096
0.030171,0.00539638,0.008176333333333332,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.006654638530640785,0.76174001094047,-20.73872000000000071,-20.555289999999999395,-20.708957045755108688,-650.4320321535187759,-649.74720438551389634,-650.320913484136629
0.03019154,0.1261129,0.1910801515151515,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.006654638530640785,0.76174001094047,-725.5905999999999949,-654.46550000000002,-714.04999542624837033,-23505.345442755864497,-23361.166995593801403,-23481.951360403010392
0.03021202,0.04600474,0.06970415151515151,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.006654638530640785,0.76174001094047,-342.66609999999997171,-316.38179999999999836,-338.4012664490051753,-11121.797124645258009,-11078.936357736378341,-11114.8426295004611095
0.03024639,0.01076719,0.01631392424242424,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.006654638530640785,0.76174001094047,-62.851909999999996614,-60.47231000000000023,-62.46580126140139325,-2027.7723118115707166,-2019.6712460856615508,-2026.4578504446454468
0.03025318,0.05621177,0.08516934848484849,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.006654638530640785,0.76174001094047,-405.05979999999999563,-362.85610000000002628,-398.2119191077518142,-13081.3477026702694275,-12979.107952246453351,-13064.758502354764053
0.03029318,0.09073851,0.1374825909090909,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.006654638530640785,0.76174001094047,-591.3201000000000249,-540.0569000000000415,-583.0022442727652704,-19122.166468134677416,-19024.069658743726905,-19106.249492452002247
0.03030568,0.05006921,0.0758624393939394,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.006654638530640785,0.76174001094047,-372.30910000000000082,-343.09660000000002356,-367.56914306340912704,-12045.945754106714958,-11991.758763314994212,-12037.1534904224631575
0.030384,0.2814027,0.42636772727272726,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.006654638530640785,0.76174001094047,-1115.9139999999999873,-990.1938000000000102,-1095.514912826372556,-35847.531140425562626,-35563.39242817084596,-35801.427408800202716
0.03039262,0.06712759,0.1017084696969697,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.006654638530640785,0.76174001094047,-453.03879999999998063,-386.44209999999998217,-442.23296379566755857,-14473.106900409127775,-14297.171761235567828,-14444.560046038024923
