a,k,k h,Omega_cdm,Omega_b,Omega_m,A_s,h,k_horizon,sigma8,delta_cdm,delta_b,delta_m,delta_prime_cdm,delta_prime_b,delta_prime_m
0.01084469,0.09378218,0.14209421212121212,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-223.61979999999999791,-171.86009999999998854,-215.74628430517130773,-19538.879858263120695,-18991.174417876180087,-19455.5647041754859
0.01084625,0.1019266,0.15443424242424242,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-240.95189999999999486,-173.43299999999999272,-230.681146520988938,-20995.481138646824547,-20150.912931974864478,-20867.008194820158238
0.01085372,0.09280277,0.14061025757575757,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-220.82320000000001414,-169.49109999999998877,-213.01472941383904468,-19264.723094253095041,-18720.664753251490765,-19181.962724954612094
0.01086603,0.08404437,0.12733995454545452,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-205.9182999999999879,-160.77520000000001232,-199.05127978227807638,-17968.508789001574769,-17566.166620099662396,-17907.305818707298577
0.01088696,0.03916053,0.05933413636363636,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-107.923699999999996635,-80.844470000000001164,-103.80449640320797876,-9342.5666506252036925,-9079.778067526003724,-9302.5921138049870445
0.01090475,0.03959599,0.05999392424242424,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-109.04739999999999611,-81.79573999999999501,-104.90196691750270258,-9431.482015716330352,-9167.098563566594748,-9391.264872650317141
0.01092122,0.04003399,0.060657560606060604,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-110.155500000000003524,-82.732020000000005666,-105.98393022299548834,-9519.710089544232687,-9253.69584718119404,-9479.24487602303074
0.010957,0.1127218,0.17079060606060606,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-255.14160000000001105,-174.33910000000000196,-242.85018888418220533,-21874.358443514724058,-20855.835467621989665,-21719.424071093031
0.01095943,0.03952416,0.05988509090909091,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-110.01279999999999859,-82.82420000000000471,-105.87695939774729593,-9483.947337327514106,-9222.249390050477814,-9444.138704449228503
0.01097167,0.1178725,0.17859469696969696,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-261.15690000000000737,-187.34790000000000987,-249.9293171523480605,-22433.04581625352148,-21597.56417219130526,-22305.955090510034681
0.01097731,0.03996621,0.060554863636363636,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-111.151700000000005275,-83.789069999999995275,-106.989386525293034814,-9573.358449878363899,-9310.045248826036186,-9533.304109896850214
0.0109792,0.1566282,0.23731545454545452,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-316.00310000000001764,-223.19780000000000086,-301.88586233994239066,-27122.005072040850791,-26012.275684186537546,-26953.196679560143405
0.01098432,0.1914821,0.29012439393939393,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-340.92570000000000618,-243.64480000000000359,-326.12764875632857953,-29188.909041135859297,-28052.205727186395961,-29015.99746354276948
0.01101369,0.1546688,0.23434666666666665,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-314.75049999999998818,-222.80330000000000723,-300.76379369576035805,-26958.653620299814065,-25863.787908577807684,-26792.106241451538043
0.01107786,0.1678036,0.25424787878787874,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-322.4789000000000101,-241.25769999999999982,-310.12379761430573674,-27503.875191664006707,-26657.224770459775755,-27375.085508196270835
0.01113105,0.03520986,0.05334827272727273,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-98.30786999999999409,-68.294039999999995416,-93.74226468221569419,-8299.209632417190733,-7950.213599310097379,-8246.121501224357999
0.01132897,0.07754136,0.11748690909090909,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-201.60059999999998581,-145.73550000000000182,-193.10258433060518792,-16795.32219368177175,-16203.05055315680147,-16705.227775490103392
0.01147996,0.3911844,0.5927036363636363,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-525.88620000000003074,-390.48649999999997817,-505.28964200169060808,-43438.88675760926708,-42022.673279339993314,-43223.45701113891852
0.01150789,0.04692541,0.07109910606060606,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-137.54820000000000846,-112.29009999999999536,-133.70602072207620475,-11420.3700500875002035,-11231.59235691948561,-11391.653806948687959
0.01151799,0.04632602,0.07019093939393939,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-136.88380000000000791,-111.84789999999999566,-133.07542105684226623,-11360.727427880419782,-11173.722160542200072,-11332.280800341946509
0.01168758,0.1463697,0.2217722727272727,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-326.6745000000000232,-240.14130000000000109,-313.5113536076571405,-26501.982885620491288,-25567.322492178376706,-26359.805414014178465
